轮次,方案标签,A_LO,A_HI,B_HI,B_MULT,C_MULT,与仓库基准买入一致,成交笔数,收益合计_pct,固定份额0p5_合计_pct,单笔均值_pct,夏普_笔收益,胜率_pct,波动率_笔收益标准差_pct,最大回撤_链式净值_pct,盈亏比_均盈除以均亏绝对值,盈亏比_总盈利除以总亏损绝对值,份额合计,加权收益合计_pts,加权收益率合计_pct,加权笔均_pct,加权胜率_pct,夏普_笔收益_加权,波动率_笔收益标准差_pct_加权,最大回撤_链式净值_pct_加权,盈亏比_均盈除以均亏绝对值_加权,盈亏比_总盈利除以总亏损绝对值_加权
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=7.0%·B×=0.98·C×=0.96,-0.05,0.02,0.07,0.98,0.96,False,148,304.5294,152.2647,2.0576,0.2905,55.4054,7.0842,26.3971,1.5725,2.0468,52.15,126.8793,253.7587,2.433,57.1429,0.3456,2.6733,11.7209,1.8237,2.3737
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=7.0%·B×=0.98·C×=0.96,-0.04,0.02,0.07,0.98,0.96,False,148,304.5294,152.2647,2.0576,0.2905,55.4054,7.0842,26.3971,1.5725,2.0468,52.15,126.8793,253.7587,2.433,57.1429,0.3456,2.6733,11.7209,1.8237,2.3737
买1+2,买扫|A_LO=-6.0%·A_HI=4.0%·B_HI=8.0%·B×=0.97·C×=0.96,-0.06,0.04,0.08,0.97,0.96,False,156,304.2726,152.1363,1.9505,0.2715,54.4872,7.1847,30.4393,1.5721,1.9651,55.15,127.2641,254.5281,2.3076,56.1197,0.3231,2.7026,10.5195,1.8018,2.2523
买1+2,买扫|A_LO=-5.0%·A_HI=4.0%·B_HI=8.0%·B×=0.97·C×=0.96,-0.05,0.04,0.08,0.97,0.96,False,156,304.2726,152.1363,1.9505,0.2715,54.4872,7.1847,30.4393,1.5721,1.9651,55.15,127.2641,254.5281,2.3076,56.1197,0.3231,2.7026,10.5195,1.8018,2.2523
买1+2,买扫|A_LO=-4.0%·A_HI=4.0%·B_HI=8.0%·B×=0.97·C×=0.96,-0.04,0.04,0.08,0.97,0.96,False,156,304.2726,152.1363,1.9505,0.2715,54.4872,7.1847,30.4393,1.5721,1.9651,55.15,127.2641,254.5281,2.3076,56.1197,0.3231,2.7026,10.5195,1.8018,2.2523
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=6.0%·B×=0.98·C×=0.96,-0.06,0.02,0.06,0.98,0.96,False,145,303.9262,151.9631,2.096,0.2977,57.2414,7.0411,32.2752,1.4898,2.0959,51.4,126.7285,253.4571,2.4655,58.463,0.3519,2.68,14.8646,1.7234,2.4244
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=6.0%·B×=0.98·C×=0.96,-0.05,0.02,0.06,0.98,0.96,False,145,303.9262,151.9631,2.096,0.2977,57.2414,7.0411,32.2752,1.4898,2.0959,51.4,126.7285,253.4571,2.4655,58.463,0.3519,2.68,14.8646,1.7234,2.4244
买1+2,买扫|A_LO=-4.0%·A_HI=2.0%·B_HI=6.0%·B×=0.98·C×=0.96,-0.04,0.02,0.06,0.98,0.96,False,145,303.9262,151.9631,2.096,0.2977,57.2414,7.0411,32.2752,1.4898,2.0959,51.4,126.7285,253.4571,2.4655,58.463,0.3519,2.68,14.8646,1.7234,2.4244
买1+2,买扫|A_LO=-6.0%·A_HI=2.0%·B_HI=7.0%·B×=0.97·C×=0.96,-0.06,0.02,0.07,0.97,0.96,False,140,302.0228,151.0114,2.1573,0.304,56.4286,7.0963,24.6569,1.5645,2.1309,49.55,126.1674,252.3348,2.5463,58.224,0.3617,2.6913,11.3172,1.8259,2.4871
买1+2,买扫|A_LO=-5.0%·A_HI=2.0%·B_HI=7.0%·B×=0.97·C×=0.96,-0.05,0.02,0.07,0.97,0.96,False,140,302.0228,151.0114,2.1573,0.304,56.4286,7.0963,24.6569,1.5645,2.1309,49.55,126.1674,252.3348,2.5463,58.224,0.3617,2.6913,11.3172,1.8259,2.4871
