策略,样本,胜率,盈亏比,单笔平均收益,总收益_线性,净值_顺序复利,未成交数
扩展网格_止损-7|止盈6|强势阈值1.0|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.505376,1.658321,0.015250,1.418243,3.116118,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.505376,1.677206,0.015239,1.417188,3.104146,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.505376,1.642706,0.015236,1.416965,3.082150,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.505376,1.641894,0.015218,1.415231,3.077220,0
扩展网格_止损-7|止盈7|强势阈值1.0|强势参考d0|最多D4|转弱阈值-2(可成交),93,0.483871,1.789458,0.015214,1.414944,3.069938,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.505376,1.675465,0.015201,1.413656,3.078569,0
扩展网格_止损-6|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.505376,1.627049,0.015162,1.410083,3.052386,0
扩展网格_止损-7|止盈7|强势阈值0.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.451613,1.990717,0.015129,1.406978,3.016879,0
扩展网格_止损-7|止盈9|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.516129,1.618202,0.015119,1.406031,3.069812,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.473118,1.842823,0.015115,1.405699,3.037565,0
扩展网格_止损-7|止盈6|强势阈值0.0|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.462366,1.883019,0.015091,1.403463,3.005202,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.505376,1.635697,0.015075,1.402008,3.024151,0
扩展网格_止损-5|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.483871,1.758318,0.015067,1.401225,3.027626,0
扩展网格_止损-7|止盈6|强势阈值2.0|强势参考prev_close|最多D3|转弱阈值0(可成交),93,0.569892,1.287644,0.015033,1.398094,3.138343,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考d0|最多D4|转弱阈值0(可成交),93,0.494624,1.705742,0.015032,1.397966,3.053214,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考d0|最多D5|转弱阈值0(可成交),93,0.494624,1.705742,0.015032,1.397966,3.053214,0
扩展网格_止损-7|止盈10|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.494624,1.754895,0.015026,1.397443,3.026928,0
扩展网格_止损-7|止盈9|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.483871,1.812742,0.015018,1.396670,3.031082,0
扩展网格_止损-5|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.473118,1.814132,0.014950,1.390313,2.985050,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.473118,1.808905,0.014933,1.388742,2.970061,0
扩展网格_止损-7|止盈10|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.516129,1.607883,0.014889,1.384716,2.990889,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.494624,1.682897,0.014876,1.383452,2.974957,0
扩展网格_止损-5|止盈6|强势阈值1.0|强势参考d0|最多D3|转弱阈值0(可成交),93,0.494624,1.677080,0.014875,1.383366,2.974348,0
扩展网格_止损-5|止盈7|强势阈值0.5|强势参考d0|最多D3|转弱阈值1(可成交),93,0.473118,1.822916,0.014863,1.382238,2.957437,0
扩展网格_止损-6|止盈7|强势阈值1.0|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.494624,1.681209,0.014838,1.379920,2.950445,0
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D5|转弱阈值1(可成交),93,0.483871,1.819396,0.014813,1.377635,3.001116,0
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D4|转弱阈值1(可成交),93,0.483871,1.819396,0.014813,1.377635,3.001116,0
扩展网格_止损-6|止盈6|强势阈值1.0|强势参考d0|最多D5|转弱阈值0(可成交),93,0.516129,1.557756,0.014793,1.375719,2.990284,0
扩展网格_止损-6|止盈6|强势阈值1.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.516129,1.557756,0.014793,1.375719,2.990284,0
扩展网格_止损-7|止盈10|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.483871,1.801356,0.014789,1.375355,2.953154,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D4|转弱阈值1(可成交),93,0.516129,1.601580,0.014749,1.371696,2.987527,0
扩展网格_止损-7|止盈8|强势阈值1.0|强势参考d0|最多D5|转弱阈值1(可成交),93,0.516129,1.601580,0.014749,1.371696,2.987527,0
扩展网格_止损-7|止盈9|强势阈值1.0|强势参考d0|最多D3|转弱阈值1(可成交),93,0.516129,1.600206,0.014719,1.368859,2.961913,0
扩展网格_止损-7|止盈8|强势阈值0.5|强势参考d0|最多D3|转弱阈值-2(可成交),93,0.462366,1.912196,0.014677,1.364936,2.911877,0
扩展网格_止损-6|止盈6|强势阈值0.5|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.483871,1.747546,0.014672,1.364453,2.947027,0
扩展网格_止损-7|止盈7|强势阈值2.0|强势参考d0|最多D4|转弱阈值0(可成交),93,0.548387,1.425025,0.014642,1.361747,3.031622,0
扩展网格_止损-7|止盈7|强势阈值2.0|强势参考d0|最多D4|转弱阈值-1(可成交),93,0.548387,1.425025,0.014642,1.361747,3.031622,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D4|转弱阈值1(可成交),93,0.483871,1.758388,0.014626,1.360208,2.923448,0
扩展网格_止损-6|止盈7|强势阈值0.5|强势参考d0|最多D5|转弱阈值1(可成交),93,0.483871,1.758388,0.014626,1.360208,2.923448,0
扩展网格_止损-5|止盈7|强势阈值0.5|强势参考d0|最多D3|转弱阈值-1(可成交),93,0.462366,1.875348,0.014625,1.360150,2.885357,0
